CommonCode,Name,Description,Symbol,Annex,Alias,Active
C62,one,Synonym: unit,1,1,C62_ONE,1
84,A unit of pressure defining the number of kilopounds force per square inch. Use kip per square inch (common code N20).,A unit of pressure defining the number of kilopounds force per square inch.,klbf/in^2,1,A_UNIT_OF_PRESSURE_DEFINING_THE_NUMBER_OF_KILOPOUNDS_FORCE_PER_SQUARE_INCH_USE_KIP_PER_SQUARE_INCH_COMMON_CODE_N20_84,0
AL,access line,A unit of count defining the number of telephone access lines.,,2,ACCESS_LINE_AL,1
E50,accounting unit,A unit of count defining the number of accounting units.,,2,ACCOUNTING_UNIT_E50,1
ACR,acre,,acre,1,ACRE_ACR,1
M67,acre_foot (based on U.S. survey foot),Unit of the volume which is used in the United States to measure/gauge the capacity of reservoirs.,acre_ft (US survey),1,ACRE_FOOT_BASED_ON_US_SURVEY_FOOT_M67,0
E25,active unit,A unit of count defining the number of active units within a substance.,,2,ACTIVE_UNIT_E25,1
ACT,activity,A unit of count defining the number of activities (activity: a unit of work or action).,,2,ACTIVITY_ACT,1
M37,actual 360,A unit of count defining the number of years expressed in multiples of 360 days one day equals 24 hours.,y (360 days),2,ACTUAL_360_M37,1
26,actual ton,,,2,ACTUAL_TON_26,1
AH,additional minute,A unit of time defining the number of minutes in addition to the referenced minutes.,,2,ADDITIONAL_MINUTE_AH,1
MD,air dry metric ton,A unit of count defining the number of metric tons of a product disregarding the water content of the product.,,2,AIR_DRY_METRIC_TON_MD,1
E28,air dry ton,A unit of mass defining the number of tons of a product disregarding the water content of the product.,,2,AIR_DRY_TON_E28,1
ASM,alcoholic strength by mass,A unit of mass defining the alcoholic strength of a liquid.,,2,ALCOHOLIC_STRENGTH_BY_MASS_ASM,1
ASU,alcoholic strength by volume,A unit of volume defining the alcoholic strength of a liquid (e.g. spirit wine beer etc) often at a specific temperature.,,2,ALCOHOLIC_STRENGTH_BY_VOLUME_ASU,1
AP,aluminium pound only,,,2,ALUMINIUM_POUND_ONLY_AP,1
AWG,american wire gauge,A unit of distance used for measuring the diameter of small tubes or wires such as the outer diameter od hypodermic or suture needles.,AWG,1,AMERICAN_WIRE_GAUGE_AWG,0
AMP,ampere,,A,1,AMPERE_AMP,0
AMH,ampere hour,A unit of electric charge defining the amount of charge accumulated by a steady flow of one ampere for one hour.,A*h,1,AMPERE_HOUR_AMH,0
N95,ampere minute,A unit of electric charge defining the amount of charge accumulated by a steady flow of one ampere for one minute..,A*min,1,AMPERE_MINUTE_N95,0
A2,ampere per centimetre,,A/cm,1,AMPERE_PER_CENTIMETRE_A2,0
H31,ampere per kilogram,,A/kg,1,AMPERE_PER_KILOGRAM_H31,0
AE,ampere per metre,,A/m,1,AMPERE_PER_METRE_AE,0
A3,ampere per millimetre,,A/mm,1,AMPERE_PER_MILLIMETRE_A3,0
N93,ampere per pascal,SI base unit ampere divided by the derived SI unit pascal.,A/Pa,1,AMPERE_PER_PASCAL_N93,0
A4,ampere per square centimetre,,A/cm^2,1,AMPERE_PER_SQUARE_CENTIMETRE_A4,0
A41,ampere per square metre,,A/m^2,1,AMPERE_PER_SQUARE_METRE_A41,0
A6,ampere per square metre kelvin squared,,A/(m^2*K^2),1,AMPERE_PER_SQUARE_METRE_KELVIN_SQUARED_A6,0
A7,ampere per square millimetre,,A/mm^2,1,AMPERE_PER_SQUARE_MILLIMETRE_A7,0
A8,ampere second,,A*s,1,AMPERE_SECOND_A8,0
A5,ampere square metre,,A*m^2,1,AMPERE_SQUARE_METRE_A5,0
A10,ampere square metre per joule second,,A*m^2/(J*s),1,AMPERE_SQUARE_METRE_PER_JOULE_SECOND_A10,0
H32,ampere squared second,,A^2*s,1,AMPERE_SQUARED_SECOND_H32,0
73,ampere tum per centimetre,,,2,AMPERE_TUM_PER_CENTIMETRE_73,1
AM,ampoule,Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction 1st sheet).,,2,AMPOULE_AM,1
A11,angstrom,,Å,1,ANGSTROM_A11,0
AQ,anti_hemophilic factor (AHF) unit,A unit of measure for blood potency (US).,,2,ANTI_HEMOPHILIC_FACTOR_AHF_UNIT_AQ,1
ARE,are,Synonym: square decametre,a,1,ARE_ARE,0
AY,assembly,A unit of count defining the number of assemblies (assembly: items that consist of component parts).,,2,ASSEMBLY_AY,1
AS,assortment,A unit of count defining the number of assortments (assortment: set of items grouped in a mixed collection).,,2,ASSORTMENT_AS,1
A12,astronomical unit,,ua,1,ASTRONOMICAL_UNIT_A12,0
H48,attofarad,,aF,1,ATTOFARAD_H48,0
A13,attojoule,,aJ,1,ATTOJOULE_A13,0
AI,average minute per call,A unit of count defining the number of minutes for the average interval of a call.,,2,AVERAGE_MINUTE_PER_CALL_AI,1
BG,bag,Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction 1st sheet).,,2,BAG_BG,1
BL,bale,Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction 1st sheet).,,2,BALE_BL,1
AA,ball,A unit of count defining the number of balls (ball: object formed in the shape of sphere).,,2,BALL_AA,1
D92,band,,,2,BAND_D92,1
BR,bar [unit of packaging],Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction 1st sheet).,,2,BAR_UNIT_OF_PACKAGING_BR,1
BAR,bar [unit of pressure],,bar,1,BAR_UNIT_OF_PRESSURE_BAR,0
F92,bar cubic metre per second,,bar*m^3/s,1,BAR_CUBIC_METRE_PER_SECOND_F92,0
F91,bar litre per second,,bar*l/s,1,BAR_LITRE_PER_SECOND_F91,0
J56,bar per bar,,bar/bar,1,BAR_PER_BAR_J56,0
F81,bar per kelvin,,bar/K,1,BAR_PER_KELVIN_F81,0
NB,barge,,,2,BARGE_NB,1
A14,barn,,b,1,BARN_A14,0
A15,barn per electronvolt,,b/eV,1,BARN_PER_ELECTRONVOLT_A15,0
A17,barn per steradian,,b/sr,1,BARN_PER_STERADIAN_A17,0
A16,barn per steradian electronvolt,,b/(sr*eV),1,BARN_PER_STERADIAN_ELECTRONVOLT_A16,1
J57,barrel (UK petroleum),,bbl (UK liq.),1,BARREL_UK_PETROLEUM_J57,1
J59,barrel (UK petroleum) per day,,bbl (UK liq.)/d,1,BARREL_UK_PETROLEUM_PER_DAY_J59,1
J60,barrel (UK petroleum) per hour,,bbl (UK liq.)/h,1,BARREL_UK_PETROLEUM_PER_HOUR_J60,1
J58,barrel (UK petroleum) per minute,,bbl (UK liq.)/min,1,BARREL_UK_PETROLEUM_PER_MINUTE_J58,1
J61,barrel (UK petroleum) per second,,bbl (UK liq.)/s,1,BARREL_UK_PETROLEUM_PER_SECOND_J61,1
J62,barrel (US petroleum) per hour,,bbl (US)/h,1,BARREL_US_PETROLEUM_PER_HOUR_J62,1
J63,barrel (US petroleum) per second,,bbl (US)/s,1,BARREL_US_PETROLEUM_PER_SECOND_J63,1
BLL,barrel (US),,barrel (US),1,BARREL_US_BLL,1
B1,barrel (US) per day,,barrel (US)/d,2,BARREL_US_PER_DAY_B1,1
5A,barrel (US) per minute,,barrel (US)/min,1,BARREL_US_PER_MINUTE_5A,1
B4,barrel imperial,A unit of volume used to measure beer. One beer barrel equals 36 imperial gallons.,,2,BARREL_IMPERIAL_B4,1
BB,base box,A unit of area of 112 sheets of tin mil products (tin plate tin free steel or black plate) 14 by 20 inches or 31360 square inches.,,2,BASE_BOX_BB,1
BW,base weight,,,2,BASE_WEIGHT_BW,1
BK,basket,Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction 1st sheet).,,2,BASKET_BK,1
5B,batch,A unit of count defining the number of batches (batch: quantity of material produced in one operation or number of animals or persons coming at once).,,2,BATCH_5B,1
B9,batt,,,2,BATT_B9,1
B3,batting pound,A unit of mass defining the number of pounds of wadded fibre.,,2,BATTING_POUND_B3,1
J38,baud,A unit of signal transmission speed equal to one signalling event per second.,Bd,2,BAUD_J38,1
D79,beam,,,2,BEAM_D79,1
BPM,beats per minute,The number of beats per minute.,BPM,2,BEATS_PER_MINUTE_BPM,1
M19,Beaufort,An empirical measure for describing wind speed based mainly on observed sea conditions. The Beaufort scale indicates the wind speed by numbers that typically range from 0 for calm to 12 for hurricane.,Bft,2,BEAUFORT_M19,1
BQL,becquerel,,Bq,1,BECQUEREL_BQL,0
A19,becquerel per cubic metre,,Bq/m^3,1,BECQUEREL_PER_CUBIC_METRE_A19,0
A18,becquerel per kilogram,,Bq/kg,1,BECQUEREL_PER_KILOGRAM_A18,0
M72,bel,Logarithmic relationship to base 10.,B,1,BEL_M72,0
P43,bel per metre,Unit bel divided by the SI base unit metre.,B/m,1,BEL_PER_METRE_P43,0
E2,belt,,,2,BELT_E2,1
H82,big point,A unit of length defining the number of big points (big point: Adobe software(US) defines the big point to be exactly 1/72 inch (0.013 888 9 inch or 0.352 777 8 millimeters)),bp,2,BIG_POINT_H82,1
B5,billet,,,2,BILLET_B5,1
BIL,billion (EUR),Synonym: trillion (US),,2,BILLION_EUR_BIL,1
2W,bin,Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction 1st sheet).,,2,BIN_2W,1
N96,biot,CGS (Centimetre_Gram_Second system) unit of the electric power which is defined by a force of 2 dyn per cm between two parallel conductors of infinite length with negligible cross_section in the distance of 1 cm.,Bi,1,BIOT_N96,0
A99,bit,A unit of information equal to one binary digit.,bit,2,BIT_A99,1
F01,bit per cubic metre,A unit of information equal to 1 bit (binary digit) per cubic metre.,bit/m^3,2,BIT_PER_CUBIC_METRE_F01,1
E88,bit per metre,A unit of information equal to 1 bit (binary digit) per metre.,bit/m,2,BIT_PER_METRE_E88,1
B10,bit per second,A unit of information equal to one binary digit per second.,bit/s,2,BIT_PER_SECOND_B10,1
E89,bit per square metre,A unit of information equal to 1 bit (binary digit) per square metre.,bit/m^2,2,BIT_PER_SQUARE_METRE_E89,1
H21,blank,A unit of count defining the number of blanks.,,2,BLANK_H21,1
D64,block,,,2,BLOCK_D64,1
BD,board,Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction 1st sheet).,,2,BOARD_BD,1
BFT,board foot,A unit of volume defining the number of cords (cord: a stack of firewood of 128 cubic feet).,fbm,2,BOARD_FOOT_BFT,1
4A,bobbin,Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction 1st sheet).,,2,BOBBIN_4A,1
BT,bolt,Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction 1st sheet).,,2,BOLT_BT,1
D63,book,A unit of count defining the number of books (book: set of items bound together or written document of a material whole).,,2,BOOK_D63,1
BO,bottle,Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction 1st sheet).,,2,BOTTLE_BO,1
BX,box,Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction 1st sheet).,,2,BOX_BX,1
BHP,brake horse power,,BHP,1,BRAKE_HORSE_POWER_BHP,0
N66,British thermal unit (39 ºF),Unit of heat energy according to the Imperial system of units in a reference temperature of 39 °F.,Btu (39 ºF),1,BRITISH_THERMAL_UNIT_39_ºF_N66,0
N67,British thermal unit (59 ºF),Unit of heat energy according to the Imperial system of units in a reference temperature of 59 °F.,Btu (59 ºF),1,BRITISH_THERMAL_UNIT_59_ºF_N67,0
N68,British thermal unit (60 ºF),Unit of head energy according to the Imperial system of units at a reference temperature of 60 °F.,Btu (60 ºF),1,BRITISH_THERMAL_UNIT_60_ºF_N68,0
BTU,British thermal unit (international table),,BtuIT,1,BRITISH_THERMAL_UNIT_INTERNATIONAL_TABLE_BTU,0
J40,British thermal unit (international table) foot per hour square foot degree Fahrenheit,,BtuIT*ft/(h*ft^2*°F),1,BRITISH_THERMAL_UNIT_INTERNATIONAL_TABLE_FOOT_PER_HOUR_SQUARE_FOOT_DEGREE_FAHRENHEIT_J40,0
J41,British thermal unit (international table) inch per hour square foot degree Fahrenheit,,BtuIT*in/(h*ft^2*°F),1,BRITISH_THERMAL_UNIT_INTERNATIONAL_TABLE_INCH_PER_HOUR_SQUARE_FOOT_DEGREE_FAHRENHEIT_J41,0
J42,British thermal unit (international table) inch per second square foot degree Fahrenheit,,BtuIT*in/(s*ft^2*°F),1,BRITISH_THERMAL_UNIT_INTERNATIONAL_TABLE_INCH_PER_SECOND_SQUARE_FOOT_DEGREE_FAHRENHEIT_J42,0
N58,British thermal unit (international table) per cubic foot,Unit of the energy density according to the Imperial system of units.,BtuIT/ft^3,1,BRITISH_THERMAL_UNIT_INTERNATIONAL_TABLE_PER_CUBIC_FOOT_N58,0
N60,British thermal unit (international table) per degree Fahrenheit,Unit of the heat capacity according to the Imperial system of units.,BtuIT/ºF,1,BRITISH_THERMAL_UNIT_INTERNATIONAL_TABLE_PER_DEGREE_FAHRENHEIT_N60,0
N62,British thermal unit (international table) per degree Rankine,Unit of the heat capacity according to the Imperial system of units.,BtuIT/ºR,1,BRITISH_THERMAL_UNIT_INTERNATIONAL_TABLE_PER_DEGREE_RANKINE_N62,0
2I,British thermal unit (international table) per hour,,BtuIT/h,1,BRITISH_THERMAL_UNIT_INTERNATIONAL_TABLE_PER_HOUR_2I,0
N74,British thermal unit (international table) per hour square foot degree Fahrenheit,Unit of the heat transition coefficient according to the Imperial system of units.,BtuIT/(h*ft^2*ºF),1,BRITISH_THERMAL_UNIT_INTERNATIONAL_TABLE_PER_HOUR_SQUARE_FOOT_DEGREE_FAHRENHEIT_N74,0
A23,British thermal unit (international table) per hour square foot degree Rankine,,BtuIT/(h*ft^2*°R),1,BRITISH_THERMAL_UNIT_INTERNATIONAL_TABLE_PER_HOUR_SQUARE_FOOT_DEGREE_RANKINE_A23,0
J44,British thermal unit (international table) per minute,,BtuIT/min,1,BRITISH_THERMAL_UNIT_INTERNATIONAL_TABLE_PER_MINUTE_J44,0
AZ,British thermal unit (international table) per pound,,BtuIT/lb,1,BRITISH_THERMAL_UNIT_INTERNATIONAL_TABLE_PER_POUND_AZ,0
J43,British thermal unit (international table) per pound degree Fahrenheit,,BtuIT/(lb*°F),1,BRITISH_THERMAL_UNIT_INTERNATIONAL_TABLE_PER_POUND_DEGREE_FAHRENHEIT_J43,0
A21,British thermal unit (international table) per pound degree Rankine,,Btu/IT(lb*°R),1,BRITISH_THERMAL_UNIT_INTERNATIONAL_TABLE_PER_POUND_DEGREE_RANKINE_A21,0
J45,British thermal unit (international table) per second,,BtuIT/s,1,BRITISH_THERMAL_UNIT_INTERNATIONAL_TABLE_PER_SECOND_J45,0
A22,British thermal unit (international table) per second foot degree Rankine,,BtuIT/(s*ft*°R),1,BRITISH_THERMAL_UNIT_INTERNATIONAL_TABLE_PER_SECOND_FOOT_DEGREE_RANKINE_A22,0
N76,British thermal unit (international table) per second square foot degree Fahrenheit,Unit of the heat transition coefficient according to the imperial system of units.,BtuIT/(s*ft^2*ºF),1,BRITISH_THERMAL_UNIT_INTERNATIONAL_TABLE_PER_SECOND_SQUARE_FOOT_DEGREE_FAHRENHEIT_N76,0
A20,British thermal unit (international table) per second square foot degree Rankine,,BtuIT/(s*ft^2*°R),1,BRITISH_THERMAL_UNIT_INTERNATIONAL_TABLE_PER_SECOND_SQUARE_FOOT_DEGREE_RANKINE_A20,0
P37,British thermal unit (international table) per square foot,Unit of the areal_related energy transmission according to the Imperial system of units.,BtuIT/ft^2,1,BRITISH_THERMAL_UNIT_INTERNATIONAL_TABLE_PER_SQUARE_FOOT_P37,0
N50,British thermal unit (international table) per square foot hour,Unit of the surface heat flux according to the Imperial system of units.,BtuIT/(ft^2*h),1,BRITISH_THERMAL_UNIT_INTERNATIONAL_TABLE_PER_SQUARE_FOOT_HOUR_N50,0
N53,British thermal unit (international table) per square foot second,Unit of the surface heat flux according to the Imperial system of units.,BtuIT/(ft^2*s),1,BRITISH_THERMAL_UNIT_INTERNATIONAL_TABLE_PER_SQUARE_FOOT_SECOND_N53,0
N55,British thermal unit (international table) per square inch second,Unit of the surface heat flux according to the Imperial system of units.,BtuIT/(in^2*s),1,BRITISH_THERMAL_UNIT_INTERNATIONAL_TABLE_PER_SQUARE_INCH_SECOND_N55,0
J39,British thermal unit (mean),,Btu,1,BRITISH_THERMAL_UNIT_MEAN_J39,0
J46,British thermal unit (thermochemical) foot per hour square foot degree Fahrenheit,,Btuth*ft/(h*ft^2*°F),1,BRITISH_THERMAL_UNIT_THERMOCHEMICAL_FOOT_PER_HOUR_SQUARE_FOOT_DEGREE_FAHRENHEIT_J46,0
J48,British thermal unit (thermochemical) inch per hour square foot degree Fahrenheit,,Btuth*in/(h*ft^2*°F),1,BRITISH_THERMAL_UNIT_THERMOCHEMICAL_INCH_PER_HOUR_SQUARE_FOOT_DEGREE_FAHRENHEIT_J48,0
J49,British thermal unit (thermochemical) inch per second square foot degree Fahrenheit,,Btuth*in/(s*ft^2*°F),1,BRITISH_THERMAL_UNIT_THERMOCHEMICAL_INCH_PER_SECOND_SQUARE_FOOT_DEGREE_FAHRENHEIT_J49,0
N59,British thermal unit (thermochemical) per cubic foot,Unit of the energy density according to the Imperial system of units.,Btuth/ft^3,1,BRITISH_THERMAL_UNIT_THERMOCHEMICAL_PER_CUBIC_FOOT_N59,0
N61,British thermal unit (thermochemical) per degree Fahrenheit,Unit of the heat capacity according to the Imperial system of units.,Btuth/ºF,1,BRITISH_THERMAL_UNIT_THERMOCHEMICAL_PER_DEGREE_FAHRENHEIT_N61,0
N63,British thermal unit (thermochemical) per degree Rankine,Unit of the heat capacity according to the Imperial system of units.,Btuth/ºR,1,BRITISH_THERMAL_UNIT_THERMOCHEMICAL_PER_DEGREE_RANKINE_N63,0
J47,British thermal unit (thermochemical) per hour,,Btuth/h,1,BRITISH_THERMAL_UNIT_THERMOCHEMICAL_PER_HOUR_J47,0
N75,British thermal unit (thermochemical) per hour square foot degree Fahrenheit,Unit of the heat transition coefficient according to the imperial system of units.,Btuth/(h*ft^2*ºF),1,BRITISH_THERMAL_UNIT_THERMOCHEMICAL_PER_HOUR_SQUARE_FOOT_DEGREE_FAHRENHEIT_N75,0
J51,British thermal unit (thermochemical) per minute,,Btuth/min,1,BRITISH_THERMAL_UNIT_THERMOCHEMICAL_PER_MINUTE_J51,0
N73,British thermal unit (thermochemical) per pound,Unit of the heat energy according to the Imperial system of units divided the unit avoirdupois pound according to the avoirdupois system of units.,Btuth/lb,1,BRITISH_THERMAL_UNIT_THERMOCHEMICAL_PER_POUND_N73,0
J50,British thermal unit (thermochemical) per pound degree Fahrenheit,,Btuth/(lb*°F),1,BRITISH_THERMAL_UNIT_THERMOCHEMICAL_PER_POUND_DEGREE_FAHRENHEIT_J50,0
N64,British thermal unit (thermochemical) per pound degree Rankine,Unit of the heat capacity (British thermal unit according to the international table according to the Rankine degree) according to the Imperial system of units divided by the unit avoirdupois pound according to the avoirdupois system of units.,(Btuth/°R)/lb,1,BRITISH_THERMAL_UNIT_THERMOCHEMICAL_PER_POUND_DEGREE_RANKINE_N64,0
J52,British thermal unit (thermochemical) per second,,Btuth/s,1,BRITISH_THERMAL_UNIT_THERMOCHEMICAL_PER_SECOND_J52,0
N77,British thermal unit (thermochemical) per second square foot degree Fahrenheit,Unit of the heat transition coefficient according to the imperial system of units.,Btuth/(s*ft^2*ºF),1,BRITISH_THERMAL_UNIT_THERMOCHEMICAL_PER_SECOND_SQUARE_FOOT_DEGREE_FAHRENHEIT_N77,0
P38,British thermal unit (thermochemical) per square foot,Unit of the areal_related energy transmission according to the Imperial system of units.,Btuth/ft^2,1,BRITISH_THERMAL_UNIT_THERMOCHEMICAL_PER_SQUARE_FOOT_P38,0
N51,British thermal unit (thermochemical) per square foot hour,Unit of the surface heat flux according to the Imperial system of units.,Btuth/(ft^2*h),1,BRITISH_THERMAL_UNIT_THERMOCHEMICAL_PER_SQUARE_FOOT_HOUR_N51,0
N52,British thermal unit (thermochemical) per square foot minute,Unit of the surface heat flux according to the Imperial system of units.,Btuth/(ft^2*min),1,BRITISH_THERMAL_UNIT_THERMOCHEMICAL_PER_SQUARE_FOOT_MINUTE_N52,0
N54,British thermal unit (thermochemical) per square foot second,Unit of the surface heat flux according to the Imperial system of units.,Btuth/(ft^2*s),1,BRITISH_THERMAL_UNIT_THERMOCHEMICAL_PER_SQUARE_FOOT_SECOND_N54,0
BH,brush,,,2,BRUSH_BH,1
B0,Btu per cubic foot,,BTU/ft^3,2,BTU_PER_CUBIC_FOOT_B0,1
BJ,bucket,Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction 1st sheet).,,2,BUCKET_BJ,1
VQ,bulk,Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction 1st sheet).,,2,BULK_VQ,1
48,bulk car load,,,2,BULK_CAR_LOAD_48,1
AB,bulk pack,A unit of count defining the number of items per bulk pack.,pk,2,BULK_PACK_AB,1
B6,bun,,,2,BUN_B6,1
BE,bundle,Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction 1st sheet).,,2,BUNDLE_BE,1
B2,bunk,,,2,BUNK_B2,1
BUI,bushel (UK),,bushel (UK),1,BUSHEL_UK_BUI,0
J64,bushel (UK) per day,,bu (UK)/d,1,BUSHEL_UK_PER_DAY_J64,0
J65,bushel (UK) per hour,,bu (UK)/h,1,BUSHEL_UK_PER_HOUR_J65,0
J66,bushel (UK) per minute,,bu (UK)/min,1,BUSHEL_UK_PER_MINUTE_J66,0
J67,bushel (UK) per second,,bu (UK)/s,1,BUSHEL_UK_PER_SECOND_J67,0
J68,bushel (US dry) per day,,bu (US dry)/d,1,BUSHEL_US_DRY_PER_DAY_J68,0
J69,bushel (US dry) per hour,,bu (US dry)/h,1,BUSHEL_US_DRY_PER_HOUR_J69,0
J70,bushel (US dry) per minute,,bu (US dry)/min,1,BUSHEL_US_DRY_PER_MINUTE_J70,0
J71,bushel (US dry) per second,,bu (US dry)/s,1,BUSHEL_US_DRY_PER_SECOND_J71,0
BUA,bushel (US),,bu (US),1,BUSHEL_US_BUA,0
AD,byte,A unit of information equal to 8 bits.,byte,2,BYTE_AD,1
P93,byte per second,Unit byte divided by the SI base unit second.,byte/s,2,BYTE_PER_SECOND_P93,1
1D,caboose count,,,2,CABOOSE_COUNT_1D,1
1H,caboose mile,,,2,CABOOSE_MILE_1H,1
KA,cake,A unit of count defining the number of cakes (cake: object shaped into a flat compact mass).,,2,CAKE_KA,1
C0,call,A unit of count defining the number of calls (call: communication session or visitation).,,2,CALL_C0,1
R4,calorie,Use International Table (IT) calorie (common code D70),cal,2,CALORIE_R4,1
N69,calorie (20 ºC),Unit for quantity of heat which is to be required for 1 g air free water at a constant pressure from 101325 kPa to warm up the pressure of standard atmosphere at sea level from 195 °C on 205 °C.,cal₂₀,1,CALORIE_20_ºC_N69,0
D70,calorie (international table),,calIT,1,CALORIE_INTERNATIONAL_TABLE_D70,0
D75,calorie (international table) per gram,,calIT/g,1,CALORIE_INTERNATIONAL_TABLE_PER_GRAM_D75,0
J76,calorie (international table) per gram degree Celsius,,calIT/(g*°C),1,CALORIE_INTERNATIONAL_TABLE_PER_GRAM_DEGREE_CELSIUS_J76,0
D76,calorie (international table) per gram kelvin,,calIT/(g*K),1,CALORIE_INTERNATIONAL_TABLE_PER_GRAM_KELVIN_D76,0
D71,calorie (international table) per second centimetre kelvin,,calIT/(s*cm*K),1,CALORIE_INTERNATIONAL_TABLE_PER_SECOND_CENTIMETRE_KELVIN_D71,0
D72,calorie (international table) per second square centimetre kelvin,,calIT/(s*cm^2*K),1,CALORIE_INTERNATIONAL_TABLE_PER_SECOND_SQUARE_CENTIMETRE_KELVIN_D72,0
J75,calorie (mean),,cal,1,CALORIE_MEAN_J75,0
D35,calorie (thermochemical),,calth,1,CALORIE_THERMOCHEMICAL_D35,0
J78,calorie (thermochemical) per centimetre second degree Celsius,,calth/(cm*s*°C),1,CALORIE_THERMOCHEMICAL_PER_CENTIMETRE_SECOND_DEGREE_CELSIUS_J78,0
B36,calorie (thermochemical) per gram,,calth/g,1,CALORIE_THERMOCHEMICAL_PER_GRAM_B36,0
J79,calorie (thermochemical) per gram degree Celsius,,calth/(g*°C),1,CALORIE_THERMOCHEMICAL_PER_GRAM_DEGREE_CELSIUS_J79,0
D37,calorie (thermochemical) per gram kelvin,,calth/(g*K),1,CALORIE_THERMOCHEMICAL_PER_GRAM_KELVIN_D37,0
J81,calorie (thermochemical) per minute,,calth/min,1,CALORIE_THERMOCHEMICAL_PER_MINUTE_J81,0
J82,calorie (thermochemical) per second,,calth/s,1,CALORIE_THERMOCHEMICAL_PER_SECOND_J82,0
D38,calorie (thermochemical) per second centimetre kelvin,,calth/(s*cm*K),1,CALORIE_THERMOCHEMICAL_PER_SECOND_CENTIMETRE_KELVIN_D38,0
D39,calorie (thermochemical) per second square centimetre kelvin,,calth/(s*cm^2*K),1,CALORIE_THERMOCHEMICAL_PER_SECOND_SQUARE_CENTIMETRE_KELVIN_D39,0
P39,calorie (thermochemical) per square centimetre,Unit of the areal_related energy transmission according to the Imperial system of units.,calth/cm^2,1,CALORIE_THERMOCHEMICAL_PER_SQUARE_CENTIMETRE_P39,0
N56,calorie (thermochemical) per square centimetre minute,Unit of the surface heat flux according to the Imperial system of units.,calth/(cm^2*min),1,CALORIE_THERMOCHEMICAL_PER_SQUARE_CENTIMETRE_MINUTE_N56,0
N57,calorie (thermochemical) per square centimetre second,Unit of the surface heat flux according to the Imperial system of units.,calth/(cm^2*s),1,CALORIE_THERMOCHEMICAL_PER_SQUARE_CENTIMETRE_SECOND_N57,0
A1,Calorie 15 °C,,cal15,1,CALORIE_15_C_A1,0
92,calorie per cubic centimetre,,,2,CALORIE_PER_CUBIC_CENTIMETRE_92,1
93,calorie per gram,Use International Table (IT) calorie per gram (common code D75).,cal/g,2,CALORIE_PER_GRAM_93,1
CA,can,Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction 1st sheet).,,2,CAN_CA,1
CDL,candela,,cd,1,CANDELA_CDL,0
P32,candela per square foot,Base unit SI candela divided by the power of the unit foot according to the Anglo_American and Imperial system of units by exponent 2.,cd/ft^2,1,CANDELA_PER_SQUARE_FOOT_P32,0
P28,candela per square inch,SI base unit candela divided by the power of unit inch according to the Anglo_American and Imperial system of units by exponent 2.,cd/in^2,1,CANDELA_PER_SQUARE_INCH_P28,0
A24,candela per square metre,,cd/m^2,1,CANDELA_PER_SQUARE_METRE_A24,0
4B,cap,,,2,CAP_4B,1
AV,capsule,Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction 1st sheet).,,2,CAPSULE_AV,1
NC,car,,,2,CAR_NC,1
1B,car count,,,2,CAR_COUNT_1B,1
1A,car mile,,,2,CAR_MILE_1A,1
CO,carboy,Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction 1st sheet).,,2,CARBOY_CO,1
CG,card,A unit of count defining the number of units of card (card: thick stiff paper or cardboard).,,2,CARD_CG,1
C4,carload,,,2,CARLOAD_C4,1
CCT,carrying capacity in metric ton,A unit of mass defining the carrying capacity expressed as the number of metric tons.,,2,CARRYING_CAPACITY_IN_METRIC_TON_CCT,1
C2,carset,,,2,CARSET_C2,1
CT,carton,Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction 1st sheet).,,2,CARTON_CT,1
CQ,cartridge,Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction 1st sheet).,,2,CARTRIDGE_CQ,1
CS,case,Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction 1st sheet).,,2,CASE_CS,1
Z3,cask,Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction 1st sheet).,,2,CASK_Z3,1
D66,cassette,,,2,CASSETTE_D66,1
31,catch weight,,,2,CATCH_WEIGHT_31,1
C6,cell,,,2,CELL_C6,1
CNT,cental (UK),A unit of mass equal to one hundred weight (US).,,2,CENTAL_UK_CNT,1
