CommonCode,Name,Description,Symbol,Annex,Alias,Active
P21,kilojoule per day,Quotient from the 1000_fold of the derived SI unit joule divided by the unit day.,kJ/d,1,KILOJOULE_PER_DAY_P21,0
Q31,kilojoule per gram,,kJ/g,1,KILOJOULE_PER_GRAM_Q31,0
P20,kilojoule per hour,Quotient from the 1000_fold of the derived SI unit joule divided by the unit hour.,kJ/h,1,KILOJOULE_PER_HOUR_P20,0
B41,kilojoule per kelvin,,kJ/K,1,KILOJOULE_PER_KELVIN_B41,0
B42,kilojoule per kilogram,,kJ/kg,1,KILOJOULE_PER_KILOGRAM_B42,0
B43,kilojoule per kilogram kelvin,,kJ/(kg*K),1,KILOJOULE_PER_KILOGRAM_KELVIN_B43,0
P19,kilojoule per minute,Quotient from the 1000_fold of the derived SI unit joule divided by the unit minute.,kJ/min,1,KILOJOULE_PER_MINUTE_P19,0
B44,kilojoule per mole,,kJ/mol,1,KILOJOULE_PER_MOLE_B44,0
P18,kilojoule per second,Quotient from the 1000_fold of the derived SI unit joule divided by the SI base unit second.,kJ/s,1,KILOJOULE_PER_SECOND_P18,0
K6,kilolitre,,kl,1,KILOLITRE_K6,0
4X,kilolitre per hour,,kl/h,1,KILOLITRE_PER_HOUR_4X,0
KLX,kilolux,A unit of illuminance equal to one thousand lux.,klx,1,KILOLUX_KLX,0
KMT,kilometre,,km,1,KILOMETRE_KMT,1
KTM,kilometre,,km,1,KILOMETRE_KTM,1
KMH,kilometre per hour,,km/h,1,KILOMETRE_PER_HOUR_KMH,1
M62,kilometre per second,1000_fold of the SI base unit metre divided by the SI base unit second.,km/s,1,KILOMETRE_PER_SECOND_M62,0
M38,kilometre per second squared,1000_fold of the SI base unit metre divided by the power of the SI base unit second by exponent 2.,km/s^2,1,KILOMETRE_PER_SECOND_SQUARED_M38,0
B45,kilomole,,kmol,1,KILOMOLE_B45,0
B46,kilomole per cubic metre,,kmol/m^3,1,KILOMOLE_PER_CUBIC_METRE_B46,0
K60,kilomole per cubic metre bar,,(kmol/m^3)/bar,1,KILOMOLE_PER_CUBIC_METRE_BAR_K60,0
K59,kilomole per cubic metre kelvin,,(kmol/m^3)/K,1,KILOMOLE_PER_CUBIC_METRE_KELVIN_K59,0
K58,kilomole per hour,,kmol/h,1,KILOMOLE_PER_HOUR_K58,0
P47,kilomole per kilogram,1000_fold of the SI base unit mol divided by the SI base unit kilogram.,kmol/kg,1,KILOMOLE_PER_KILOGRAM_P47,0
K61,kilomole per minute,,kmol/min,1,KILOMOLE_PER_MINUTE_K61,0
E94,kilomole per second,,kmol/s,1,KILOMOLE_PER_SECOND_E94,0
B47,kilonewton,,kN,1,KILONEWTON_B47,0
B48,kilonewton metre,,kN*m,1,KILONEWTON_METRE_B48,0
N31,kilonewton per metre,1000_fold of the derived SI unit newton divided by the SI base unit metre.,kN/m,1,KILONEWTON_PER_METRE_N31,0
KNM,kilonewton per square metre,,KN/m2,1,KILONEWTON_PER_SQUARE_METRE_KNM,0
B49,kiloohm,,kΩ,1,KILOOHM_B49,0
B50,kiloohm metre,,kΩ*m,1,KILOOHM_METRE_B50,0
KF,kilopacket,,,2,KILOPACKET_KF,1
KPA,kilopascal,,kPa,1,KILOPASCAL_KPA,0
F03,kilopascal per bar,,kPa/bar,1,KILOPASCAL_PER_BAR_F03,0
F83,kilopascal per kelvin,,kPa/K,1,KILOPASCAL_PER_KELVIN_F83,0
P81,kilopascal per metre,1000_fold of the derived SI unit pascal divided by the SI base unit metre.,kPa/m,1,KILOPASCAL_PER_METRE_P81,0
34,kilopascal per millimetre,,kPa/mm,1,KILOPASCAL_PER_MILLIMETRE_34,0
33,kilopascal square metre per gram,,kPa*m^2/g,1,KILOPASCAL_SQUARE_METRE_PER_GRAM_33,0
B51,kilopond,Synonym: kilogram_force,kp,1,KILOPOND_B51,0
M90,kilopound per hour,1000_fold of the unit of the mass avoirdupois pound according to the avoirdupois unit system divided by the unit hour.,klb/h,1,KILOPOUND_PER_HOUR_M90,0
M75,kilopound_force,1000_fold of the unit of the force pound_force (lbf) according to the Anglo_American system of units with the relationship.,kip,1,KILOPOUND_FORCE_M75,0
84,kilopound_force per square inch,A unit of pressure defining the number of kilopounds force per square inch. Use kip per square inch (common code N20).,klbf/in^2,2,KILOPOUND_FORCE_PER_SQUARE_INCH_84,1
KR,kiloroentgen,,kR,1,KILOROENTGEN_KR,0
B52,kilosecond,,ks,1,KILOSECOND_B52,0
KJ,kilosegment,A unit of information equal to 10^3 (1000) segments.,,2,KILOSEGMENT_KJ,1
B53,kilosiemens,,kS,1,KILOSIEMENS_B53,0
B54,kilosiemens per metre,,kS/m,1,KILOSIEMENS_PER_METRE_B54,0
P13,kilotesla,1000_fold of the derived SI unit tesla.,kT,1,KILOTESLA_P13,0
KTN,kilotonne,,kt,1,KILOTONNE_KTN,0
KVR,kilovar,,kvar,1,KILOVAR_KVR,0
KVT,kilovolt,,kV,1,KILOVOLT_KVT,0
KVA,kilovolt _ ampere,,kV*A,1,KILOVOLT___AMPERE_KVA,0
K5,kilovolt ampere (reactive),Use kilovar (common code KVR),kvar,1,KILOVOLT_AMPERE_REACTIVE_K5,0
C79,kilovolt ampere hour,A unit of accumulated energy of 1000 volt amperes over a period of one hour.,kVAh,2,KILOVOLT_AMPERE_HOUR_C79,1
K2,kilovolt ampere reactive demand,A unit of measure defining the reactive power demand equal to one kilovolt ampere of reactive power.,,2,KILOVOLT_AMPERE_REACTIVE_DEMAND_K2,1
K3,kilovolt ampere reactive hour,A unit of measure defining the accumulated reactive energy equal to one kilovolt ampere of reactive power per hour.,kvar*h,2,KILOVOLT_AMPERE_REACTIVE_HOUR_K3,1
B55,kilovolt per metre,,kV/m,1,KILOVOLT_PER_METRE_B55,0
KWT,kilowatt,,kW,1,KILOWATT_KWT,0
K1,kilowatt demand,A unit of measure defining the power load measured at predetermined intervals.,,2,KILOWATT_DEMAND_K1,1
KWH,kilowatt hour,,kW*h,1,KILOWATT_HOUR_KWH,0
E46,kilowatt hour per cubic metre,A unit of energy consumption expressed as kilowatt hour per cubic metre.,kW*h/m^3,2,KILOWATT_HOUR_PER_CUBIC_METRE_E46,1
D03,kilowatt hour per hour,A unit of accumulated energy of a thousand watts over a period of one hour.,kW*h/h,2,KILOWATT_HOUR_PER_HOUR_D03,1
